			Length of Life		Quality of Life		Health Behaviors		Clinical Care		Social & Economic Factors		Physical Environment	
FIPS	State	County	Z-Score	Rank	Z-Score	Rank	Z-Score	Rank	Z-Score	Rank	Z-Score	Rank	Z-Score	Rank
37000	North Carolina													
37001	North Carolina	Alamance	-0.27	33	0.03	59	-0.03	44	0.00	52	-0.06	51	0.02	67
37003	North Carolina	Alexander	0.04	52	-0.17	38	-0.02	47	0.08	80	-0.20	20	0.00	45
37005	North Carolina	Alleghany	-0.16	42	-0.06	48	-0.13	26	0.06	73	0.06	67	-0.07	12
37007	North Carolina	Anson	0.67	90	0.60	88	0.26	91	0.11	85	0.27	85	0.08	98
37009	North Carolina	Ashe	-0.43	17	-0.24	31	-0.18	19	0.04	61	-0.13	35	-0.02	27
37011	North Carolina	Avery	-0.10	45	-0.12	44	-0.13	27	0.13	88	-0.18	24	-0.11	2
37013	North Carolina	Beaufort	0.46	86	0.04	62	0.00	53	-0.06	30	0.18	80	0.04	76
37015	North Carolina	Bertie	0.65	89	0.67	92	0.15	79	0.06	75	0.31	88	-0.02	29
37017	North Carolina	Bladen	0.95	98	0.59	87	0.23	90	0.28	99	0.23	82	0.04	80
37019	North Carolina	Brunswick	0.03	50	-0.27	27	-0.25	10	-0.07	27	0.01	58	-0.05	17
37021	North Carolina	Buncombe	-0.42	19	-0.52	11	-0.32	6	-0.28	2	-0.35	6	-0.02	28
37023	North Carolina	Burke	0.33	76	-0.25	30	0.01	55	-0.05	34	-0.09	44	-0.01	38
37025	North Carolina	Cabarrus	-0.64	8	-0.46	14	-0.12	28	-0.11	16	-0.38	4	0.07	95
37027	North Carolina	Caldwell	0.28	70	-0.04	52	0.09	69	0.00	50	-0.11	38	0.03	71
37029	North Carolina	Camden	-0.58	9	-0.72	5	-0.23	12	-0.10	20	-0.30	10	0.00	48
37031	North Carolina	Carteret	-0.17	40	-0.58	9	-0.15	23	-0.10	21	-0.18	25	-0.02	35
37033	North Carolina	Caswell	0.04	51	0.11	69	0.07	64	0.07	78	0.07	69	0.00	47
37035	North Carolina	Catawba	0.03	49	-0.16	40	-0.09	33	-0.11	15	-0.24	16	-0.01	39
37037	North Carolina	Chatham	-0.77	7	-0.37	19	-0.33	3	-0.15	9	-0.24	15	0.03	74
37039	North Carolina	Cherokee	0.69	92	0.14	70	-0.12	29	0.15	91	-0.05	52	-0.07	14
37041	North Carolina	Chowan	0.63	88	0.25	79	0.12	72	-0.09	22	0.17	77	0.04	78
37043	North Carolina	Clay	0.25	67	-0.21	36	-0.22	13	0.00	51	-0.05	54	-0.02	34
37045	North Carolina	Cleveland	0.41	83	0.17	72	0.16	81	-0.01	47	-0.02	57	0.01	56
37047	North Carolina	Columbus	0.92	97	0.64	90	0.21	88	0.13	87	0.34	89	0.02	64
37049	North Carolina	Craven	0.23	66	-0.29	24	-0.02	45	-0.21	4	-0.08	48	-0.05	18
37051	North Carolina	Cumberland	0.16	63	0.19	74	0.08	67	-0.03	40	0.09	71	-0.01	36
37053	North Carolina	Currituck	-0.57	11	-0.73	4	-0.20	16	0.05	69	-0.32	7	0.04	75
37055	North Carolina	Dare	-0.44	16	-0.83	1	-0.32	5	-0.08	25	-0.19	22	-0.09	6
37057	North Carolina	Davidson	0.07	54	0.03	60	0.00	52	0.01	55	-0.15	29	0.07	96
37059	North Carolina	Davie	-0.37	23	-0.39	16	-0.14	24	-0.10	19	-0.24	17	-0.03	22
37061	North Carolina	Duplin	-0.31	30	0.48	85	0.27	92	0.21	95	0.17	78	-0.03	23
37063	North Carolina	Durham	-0.79	6	-0.28	25	-0.21	14	-0.19	7	-0.08	46	-0.02	31
